GWI_ID,Date_time,Num_etape,DTW_1,DTW_2,Tape_error,Comments,original_timestamp_ms,timestamp_utc,timestamp_local
TN017_000004,2021-10-18 17:50:00.000,1_275959,27.44,27.44,-0.11,Captured by Sri ,1634579400000,2021-10-18 17:50:00,2021-10-18 12:50:00 -0500
TN017_000004,2021-10-18 18:02:00.000,1_275959,27.44,27.44,-0.11,Captured by Sri ,1634580120000,2021-10-18 18:02:00,2021-10-18 13:02:00 -0500
TN017_000004,2021-10-18 18:12:00.000,1_275959,27.43,27.43,-0.11,Captured by Sri ,1634580720000,2021-10-18 18:12:00,2021-10-18 13:12:00 -0500
TN017_000004,2021-10-27 17:52:00.000,1_275959,27.2,27.2,-0.11,Captured by Sri ,1635357120000,2021-10-27 17:52:00,2021-10-27 12:52:00 -0500
TN017_000004,2021-10-27 17:52:00.000,1_275959,27.2,27.2,-0.11,Captured by Sri,1635357120000,2021-10-27 17:52:00,2021-10-27 12:52:00 -0500
TN017_000003,2021-10-27 18:36:00.000,1_275959,69.28,69.28,-0.17,Captured later by Sri ,1635359760000,2021-10-27 18:36:00,2021-10-27 13:36:00 -0500
TN069_000495,2021-11-19 17:57:00.000,1_275959,6.91,6.91,0.0,Unknown Etape.Not the correct time.Captured by Sri,1637344620000,2021-11-19 17:57:00,2021-11-19 11:57:00 -0600
TN069_000495,2021-11-19 17:57:00.000,1_275959,6.91,6.91,0.0,Unknown Etape.Not the correct time.Captured by Sri,1637344620000,2021-11-19 17:57:00,2021-11-19 11:57:00 -0600
TN069_000494,2021-11-20 15:05:00.000,1_275959,7.0,7.0,0.0,Unknown timing. Unknown E-Tape. Captured by Sri. ,1637420700000,2021-11-20 15:05:00,2021-11-20 09:05:00 -0600
TN017_000004,2021-11-22 21:04:00.000,1_275959,27.2,27.2,-0.11,Captured by Sri ,1637615040000,2021-11-22 21:04:00,2021-11-22 15:04:00 -0600
TN017_000003,2021-11-22 21:47:00.000,1_275959,69.55,69.55,-0.17,Captured later by Sri,1637617620000,2021-11-22 21:47:00,2021-11-22 15:47:00 -0600
TN069_000495,2021-12-03 18:23:00.000,1_275959,6.96,6.96,0.0,Unknown ETape. Captured by sri,1638555780000,2021-12-03 18:23:00,2021-12-03 12:23:00 -0600
TN069_000494,2021-12-04 15:09:00.000,1_275959,6.97,6.97,0.0,Unknown E-Tape.captured by Sri. ,1638630540000,2021-12-04 15:09:00,2021-12-04 09:09:00 -0600
TN017_000004,2021-12-15 19:11:00.000,1_275959,27.09,27.09,-0.11,Captured by Sri ,1639595460000,2021-12-15 19:11:00,2021-12-15 13:11:00 -0600
TN017_000004,2022-01-24 17:37:00.000,1_275959,26.47,26.47,0.0,Captured by Sri ,1643045820000,2022-01-24 17:37:00,2022-01-24 11:37:00 -0600
TN017_000003,2022-01-24 19:42:00.000,1_275959,69.09,69.09,0.0,Captured later by Sri ,1643053320000,2022-01-24 19:42:00,2022-01-24 13:42:00 -0600
TN069_000495,2022-02-11 18:32:00.000,1_275959,6.41,6.41,0.0,Didn't mention the name. Unknown Etape.Captured by sri,1644604320000,2022-02-11 18:32:00,2022-02-11 12:32:00 -0600
TN069_000494,2022-02-12 15:11:00.000,1_275959,6.57,6.57,0.0,No timing. Unknown E-Tape. Captured by Sri ,1644678660000,2022-02-12 15:11:00,2022-02-12 09:11:00 -0600
TN017_000004,2022-02-28 19:37:00.000,1_275959,26.45,26.45,-0.11,Captured by Sri ,1646077020000,2022-02-28 19:37:00,2022-02-28 13:37:00 -0600
TN017_000003,2022-02-28 20:12:00.000,1_275959,69.58,69.58,-0.17,Captured later by Sri ,1646079120000,2022-02-28 20:12:00,2022-02-28 14:12:00 -0600
TN069_000495,2022-03-25 17:35:00.000,1_275959,6.28,6.28,0.0,Didn't have exact time. Unknown E-Tape.Captured by Sri,1648229700000,2022-03-25 17:35:00,2022-03-25 12:35:00 -0500
TN069_000494,2022-03-26 14:16:00.000,1_275959,6.13,6.13,0.0,No timing. Unknown E-Tape. Captured by Sri. ,1648304160000,2022-03-26 14:16:00,2022-03-26 09:16:00 -0500
TN017_000004,2022-03-31 17:54:00.000,1_275959,26.4,26.4,-0.11,Captured by Sri ,1648749240000,2022-03-31 17:54:00,2022-03-31 12:54:00 -0500
TN017_000003,2022-03-31 18:40:00.000,1_275959,69.31,69.31,-0.17,Captured later by Sri ,1648752000000,2022-03-31 18:40:00,2022-03-31 13:40:00 -0500
TN017_000004,2022-04-28 16:12:00.000,1_275959,26.36,26.36,-0.11,Captured by Sri ,1651162320000,2022-04-28 16:12:00,2022-04-28 11:12:00 -0500
TN017_000003,2022-04-29 16:52:00.000,1_275959,69.3,69.3,-0.17,Captured later by Sri ,1651251120000,2022-04-29 16:52:00,2022-04-29 11:52:00 -0500
TN017_000004,2022-05-20 16:58:00.000,1_275959,26.63,26.63,-0.11,Captured by Sri ,1653065880000,2022-05-20 16:58:00,2022-05-20 11:58:00 -0500
TN017_000003,2022-05-20 17:52:00.000,1_275959,69.15,69.15,-0.17,Captured later by Sri ,1653069120000,2022-05-20 17:52:00,2022-05-20 12:52:00 -0500
TN053_000735,2022-05-20 22:08:00.000,1_275959,27.06,27.06,-0.11,Unknown Etape.Captured by sri,1653084480000,2022-05-20 22:08:00,2022-05-20 17:08:00 -0500
TN069_000494,2022-06-02 18:50:00.000,4_312885,7.12,7.12,0.0,Captured by Sri ,1654195800000,2022-06-02 18:50:00,2022-06-02 13:50:00 -0500
TN069_000495,2022-06-02 20:50:00.000,1_275959,6.85,6.85,0.0,Meter#4. Captured by Sri,1654203000000,2022-06-02 20:50:00,2022-06-02 15:50:00 -0500
